fips,total_pop,male,perc_male,female,perc_female,age_15_19,p_age_15_19,age_20_24,p_age_20_24,age_25_34,p_age_25_34,age_35_44,p_age_35_44,age_45_54,p_age_45_54,age_55_59,p_age_55_59,age_60_64,p_age_60_64,age_median,age_62over,p_age_62over,age_65over,p_age_65over,white,p_white,black,p_black,native,p_native,asian,p_asian,hawaiian,p_hawaiian,other_race,p_other_race,hispanic,p_hispanic,housing_units,county,state,below_50_pov,below_125_pov,below_150_pov,below_185_pov,below_200_pov,below_300_pov,below_400_pov,below_500_pov,below_pov,male_below_pov,female_below_pov,age_under14,p_under14,non_white,p_non_white
17001,66085,32276,48.8,33809,51.2,3679,5.6,3684,5.6,8060,12.2,7657,11.6,8105,12.3,4866,7.4,4251,6.4,41.5,15621,23.6,13186,20.0,61406,92.9,2731,4.1,297,0.4,527,0.8,14,0.0,113,0.2,1059,1.6,30192,Adams County,Illinois,3447,10417,13344,17583,19205,33041,43233,50182,8031,3605,4426,12597,19.1,4679,7.099999999999994
17003,6260,2991,47.8,3269,52.2,333,5.3,142,2.3,715,11.4,625,10.0,820,13.1,527,8.4,478,7.6,45.3,1583,25.3,1332,21.3,3954,63.2,2094,33.5,37,0.6,0,0.0,35,0.6,22,0.4,82,1.3,3971,Alexander County,Illinois,686,1848,2167,2563,2919,4290,4929,5440,1553,695,858,1288,20.6,2306,36.8
17005,16589,8582,51.7,8007,48.3,1044,6.3,1236,7.5,1986,12.0,2171,13.1,2132,12.9,1283,7.7,1138,6.9,41.6,3592,21.7,3031,18.3,15077,90.9,1264,7.6,84,0.5,59,0.4,0,0.0,56,0.3,584,3.5,7238,Bond County,Illinois,782,2943,3482,4122,4547,7237,9490,11011,2098,1045,1053,2568,15.5,1512,9.099999999999994
17007,53537,26792,50.0,26745,50.0,4274,8.0,3485,6.5,5732,10.7,6643,12.4,7783,14.5,3824,7.1,2692,5.0,38.5,9818,18.3,8334,15.6,46852,87.5,1184,2.2,183,0.3,632,1.2,0,0.0,3395,6.3,11673,21.8,20060,Boone County,Illinois,2118,7413,8968,13248,14959,23856,31396,38693,5341,2113,3228,10770,20.1,6685,12.5
17009,6628,4193,63.3,2435,36.7,235,3.5,540,8.1,1107,16.7,1042,15.7,953,14.4,497,7.5,304,4.6,38.9,1160,17.5,960,14.5,5265,79.4,1272,19.2,24,0.4,0,0.0,0,0.0,44,0.7,440,6.6,2449,Brown County,Illinois,205,916,1022,1204,1297,1960,2895,3464,549,204,345,990,15.0,1363,20.599999999999994
17011,33122,16334,49.3,16788,50.7,2022,6.1,1787,5.4,3503,10.6,3697,11.2,4360,13.2,2438,7.4,2421,7.3,44.4,8570,25.9,7163,21.6,30937,93.4,350,1.1,65,0.2,291,0.9,3,0.0,1022,3.1,3029,9.1,15682,Bureau County,Illinois,1317,5102,6497,8911,9766,15938,21643,24990,4040,1792,2248,5731,17.3,2185,6.599999999999994
17013,4830,2420,50.1,2410,49.9,324,6.7,183,3.8,449,9.3,500,10.4,659,13.6,392,8.1,366,7.6,46.8,1307,27.1,1124,23.3,4719,97.7,15,0.3,25,0.5,43,0.9,0,0.0,1,0.0,61,1.3,2875,Calhoun County,Illinois,207,739,842,1157,1265,1899,2874,3492,548,318,230,833,17.299999999999997,111,2.299999999999997
17015,14466,7178,49.6,7288,50.4,707,4.9,799,5.5,1474,10.2,1472,10.2,1776,12.3,1129,7.8,1214,8.4,48.3,4292,29.7,3598,24.9,13883,96.0,179,1.2,11,0.1,111,0.8,0,0.0,59,0.4,535,3.7,8475,Carroll County,Illinois,772,1956,2467,3650,4003,7114,9020,10864,1511,603,908,2297,15.9,583,4.0
17017,12493,6236,49.9,6257,50.1,810,6.5,653,5.2,1563,12.5,1463,11.7,1678,13.4,903,7.2,740,5.9,40.0,2605,20.9,2156,17.3,11058,88.5,652,5.2,22,0.2,45,0.4,1,0.0,581,4.7,2362,18.9,5822,Cass County,Illinois,541,2466,2995,3904,4525,7123,8887,10023,1822,766,1056,2527,20.2,1435,11.5
17019,209922,104627,49.8,105295,50.2,21113,10.1,33906,16.2,30456,14.5,22928,10.9,20477,9.8,10888,5.2,11256,5.4,30.1,32389,15.4,25959,12.4,150820,71.8,28283,13.5,348,0.2,22579,10.8,179,0.1,2137,1.0,12518,6.0,92699,Champaign County,Illinois,25093,47382,54113,65537,71055,97579,122304,141312,38859,18496,20363,32939,15.7,59102,28.200000000000003
17021,32931,16644,50.5,16287,49.5,1864,5.7,1833,5.6,3892,11.8,4082,12.4,4476,13.6,2633,8.0,2218,6.7,43.4,7608,23.1,6374,19.4,31774,96.5,436,1.3,100,0.3,208,0.6,36,0.1,2,0.0,535,1.6,15614,Christian County,Illinois,1836,5053,7001,9112,10171,16689,21473,24700,3831,1391,2440,5559,16.9,1157,3.5
17023,15716,7756,49.4,7960,50.6,1013,6.4,816,5.2,1755,11.2,1772,11.3,2106,13.4,1150,7.3,1117,7.1,42.3,3748,23.8,3041,19.3,15220,96.8,107,0.7,10,0.1,98,0.6,0,0.0,92,0.6,248,1.6,7814,Clark County,Illinois,662,2430,3393,4214,4675,7653,10154,12291,1718,788,930,2946,18.700000000000003,496,3.200000000000003
17025,13287,6634,49.9,6653,50.1,817,6.1,691,5.2,1499,11.3,1508,11.3,1708,12.9,941,7.1,1021,7.7,42.6,3120,23.5,2661,20.0,12782,96.2,107,0.8,32,0.2,42,0.3,0,0.0,1,0.0,17,0.1,6441,Clay County,Illinois,665,2789,3513,4625,4966,7403,9271,10673,2153,929,1224,2441,18.4,505,3.799999999999997
