date,state,county,new doses,cumulative doses,fips
2020-12-14,MO,Adair,1,1,29001
2020-12-15,MO,Adair,4,5,29001
2020-12-16,MO,Adair,8,13,29001
2020-12-17,MO,Adair,16,29,29001
2020-12-18,MO,Adair,13,42,29001
2020-12-19,MO,Adair,3,45,29001
2020-12-20,MO,Adair,1,46,29001
2020-12-21,MO,Adair,444,490,29001
2020-12-22,MO,Adair,11,501,29001
2020-12-23,MO,Adair,368,869,29001
2020-12-24,MO,Adair,1,870,29001
2020-12-26,MO,Adair,1,871,29001
2020-12-27,MO,Adair,3,874,29001
2020-12-28,MO,Adair,13,887,29001
2020-12-29,MO,Adair,7,894,29001
2020-12-30,MO,Adair,12,906,29001
2020-12-31,MO,Adair,7,913,29001
2021-01-02,MO,Adair,1,914,29001
2021-01-03,MO,Adair,3,917,29001
2021-01-04,MO,Adair,15,932,29001
2021-01-05,MO,Adair,8,940,29001
2021-01-06,MO,Adair,15,955,29001
2021-01-07,MO,Adair,10,965,29001
2021-01-08,MO,Adair,15,980,29001
2021-01-09,MO,Adair,18,998,29001
2021-01-10,MO,Adair,3,1001,29001
2021-01-11,MO,Adair,492,1493,29001
2021-01-12,MO,Adair,11,1504,29001
2021-01-13,MO,Adair,369,1873,29001
2021-01-14,MO,Adair,132,2005,29001
2021-01-15,MO,Adair,46,2051,29001
2021-01-16,MO,Adair,3,2054,29001
2021-01-17,MO,Adair,2,2056,29001
2021-01-18,MO,Adair,22,2078,29001
2021-01-19,MO,Adair,20,2098,29001
2021-01-20,MO,Adair,21,2119,29001
2021-01-21,MO,Adair,31,2150,29001
2021-01-22,MO,Adair,42,2192,29001
2021-01-23,MO,Adair,3,2195,29001
2021-01-24,MO,Adair,5,2200,29001
2021-01-25,MO,Adair,16,2216,29001
2021-01-26,MO,Adair,16,2232,29001
2021-01-27,MO,Adair,620,2852,29001
2021-01-28,MO,Adair,73,2925,29001
2021-01-29,MO,Adair,64,2989,29001
2021-01-30,MO,Adair,4,2993,29001
2021-02-01,MO,Adair,5,2998,29001
2021-02-02,MO,Adair,25,3023,29001
2021-02-03,MO,Adair,31,3054,29001
2021-02-04,MO,Adair,43,3097,29001
2021-02-05,MO,Adair,160,3257,29001
2021-02-06,MO,Adair,69,3326,29001
2021-02-08,MO,Adair,158,3484,29001
2021-02-09,MO,Adair,21,3505,29001
2021-02-10,MO,Adair,33,3538,29001
2021-02-11,MO,Adair,123,3661,29001
2021-02-12,MO,Adair,69,3730,29001
2021-02-13,MO,Adair,24,3754,29001
2021-02-14,MO,Adair,4,3758,29001
2021-02-15,MO,Adair,24,3782,29001
2021-02-16,MO,Adair,74,3856,29001
2021-02-17,MO,Adair,43,3899,29001
2021-02-18,MO,Adair,62,3961,29001
2021-02-19,MO,Adair,51,4012,29001
2021-02-20,MO,Adair,2,4014,29001
2021-02-21,MO,Adair,5,4019,29001
2021-02-22,MO,Adair,117,4136,29001
2021-02-23,MO,Adair,107,4243,29001
2021-02-24,MO,Adair,674,4917,29001
2021-02-25,MO,Adair,1359,6276,29001
2021-02-26,MO,Adair,155,6431,29001
2021-02-27,MO,Adair,87,6518,29001
2021-02-28,MO,Adair,50,6568,29001
2021-03-01,MO,Adair,116,6684,29001
2021-03-02,MO,Adair,77,6761,29001
2021-03-03,MO,Adair,113,6874,29001
2021-03-04,MO,Adair,148,7022,29001
2021-03-05,MO,Adair,268,7290,29001
2021-03-06,MO,Adair,82,7372,29001
2021-03-07,MO,Adair,23,7395,29001
2021-03-08,MO,Adair,103,7498,29001
2021-03-09,MO,Adair,56,7554,29001
2021-03-10,MO,Adair,45,7599,29001
2021-03-11,MO,Adair,101,7700,29001
2021-03-12,MO,Adair,194,7894,29001
2021-03-13,MO,Adair,36,7930,29001
2021-03-14,MO,Adair,19,7949,29001
2021-03-15,MO,Adair,117,8066,29001
2021-03-16,MO,Adair,257,8323,29001
2021-03-17,MO,Adair,172,8495,29001
2021-03-18,MO,Adair,155,8650,29001
2021-03-19,MO,Adair,276,8926,29001
2021-03-20,MO,Adair,107,9033,29001
2021-03-21,MO,Adair,55,9088,29001
2021-03-22,MO,Adair,178,9266,29001
2021-03-23,MO,Adair,85,9351,29001
