state,county,date,fips,mask_mandate
IL,Adams,2020-04-10,17001,0
IL,Adams,2020-04-11,17001,0
IL,Adams,2020-04-12,17001,0
IL,Adams,2020-04-13,17001,0
IL,Adams,2020-04-14,17001,0
IL,Adams,2020-04-15,17001,0
IL,Adams,2020-04-16,17001,0
IL,Adams,2020-04-17,17001,0
IL,Adams,2020-04-18,17001,0
IL,Adams,2020-04-19,17001,0
IL,Adams,2020-04-20,17001,0
IL,Adams,2020-04-21,17001,0
IL,Adams,2020-04-22,17001,0
IL,Adams,2020-04-23,17001,0
IL,Adams,2020-04-24,17001,0
IL,Adams,2020-04-25,17001,0
IL,Adams,2020-04-26,17001,0
IL,Adams,2020-04-27,17001,0
IL,Adams,2020-04-28,17001,0
IL,Adams,2020-04-29,17001,0
IL,Adams,2020-04-30,17001,0
IL,Adams,2020-05-01,17001,1
IL,Adams,2020-05-02,17001,1
IL,Adams,2020-05-03,17001,1
IL,Adams,2020-05-04,17001,1
IL,Adams,2020-05-05,17001,1
IL,Adams,2020-05-06,17001,1
IL,Adams,2020-05-07,17001,1
IL,Adams,2020-05-08,17001,1
IL,Adams,2020-05-09,17001,1
IL,Adams,2020-05-10,17001,1
IL,Adams,2020-05-11,17001,1
IL,Adams,2020-05-12,17001,1
IL,Adams,2020-05-13,17001,1
IL,Adams,2020-05-14,17001,1
IL,Adams,2020-05-15,17001,1
IL,Adams,2020-05-16,17001,1
IL,Adams,2020-05-17,17001,1
IL,Adams,2020-05-18,17001,1
IL,Adams,2020-05-19,17001,1
IL,Adams,2020-05-20,17001,1
IL,Adams,2020-05-21,17001,1
IL,Adams,2020-05-22,17001,1
IL,Adams,2020-05-23,17001,1
IL,Adams,2020-05-24,17001,1
IL,Adams,2020-05-25,17001,1
IL,Adams,2020-05-26,17001,1
IL,Adams,2020-05-27,17001,1
IL,Adams,2020-05-28,17001,1
IL,Adams,2020-05-29,17001,1
IL,Adams,2020-05-30,17001,1
IL,Adams,2020-05-31,17001,1
IL,Adams,2020-06-01,17001,1
IL,Adams,2020-06-02,17001,1
IL,Adams,2020-06-03,17001,1
IL,Adams,2020-06-04,17001,1
IL,Adams,2020-06-05,17001,1
IL,Adams,2020-06-06,17001,1
IL,Adams,2020-06-07,17001,1
IL,Adams,2020-06-08,17001,1
IL,Adams,2020-06-09,17001,1
IL,Adams,2020-06-10,17001,1
IL,Adams,2020-06-11,17001,1
IL,Adams,2020-06-12,17001,1
IL,Adams,2020-06-13,17001,1
IL,Adams,2020-06-14,17001,1
IL,Adams,2020-06-15,17001,1
IL,Adams,2020-06-16,17001,1
IL,Adams,2020-06-17,17001,1
IL,Adams,2020-06-18,17001,1
IL,Adams,2020-06-19,17001,1
IL,Adams,2020-06-20,17001,1
IL,Adams,2020-06-21,17001,1
IL,Adams,2020-06-22,17001,1
IL,Adams,2020-06-23,17001,1
IL,Adams,2020-06-24,17001,1
