,county,date,vaccines_started,vaccines_completed,fips,state
0,Adams,2020-12-14,0,0,39001,OH
1,Adams,2020-12-15,0,0,39001,OH
2,Adams,2020-12-16,0,0,39001,OH
3,Adams,2020-12-17,0,0,39001,OH
4,Adams,2020-12-18,9,0,39001,OH
5,Adams,2020-12-19,0,0,39001,OH
6,Adams,2020-12-20,0,0,39001,OH
7,Adams,2020-12-21,2,0,39001,OH
8,Adams,2020-12-22,9,0,39001,OH
9,Adams,2020-12-23,20,0,39001,OH
10,Adams,2020-12-24,8,0,39001,OH
11,Adams,2020-12-25,0,0,39001,OH
12,Adams,2020-12-26,4,0,39001,OH
13,Adams,2020-12-27,4,0,39001,OH
14,Adams,2020-12-28,73,0,39001,OH
15,Adams,2020-12-29,73,0,39001,OH
16,Adams,2020-12-30,52,0,39001,OH
17,Adams,2020-12-31,18,0,39001,OH
18,Adams,2021-01-01,1,0,39001,OH
19,Adams,2021-01-02,4,0,39001,OH
20,Adams,2021-01-03,0,0,39001,OH
21,Adams,2021-01-04,17,0,39001,OH
22,Adams,2021-01-05,26,0,39001,OH
23,Adams,2021-01-06,76,0,39001,OH
24,Adams,2021-01-07,50,0,39001,OH
25,Adams,2021-01-08,27,10,39001,OH
26,Adams,2021-01-09,0,0,39001,OH
27,Adams,2021-01-10,0,0,39001,OH
28,Adams,2021-01-11,23,1,39001,OH
29,Adams,2021-01-12,40,2,39001,OH
30,Adams,2021-01-13,20,2,39001,OH
31,Adams,2021-01-14,37,0,39001,OH
32,Adams,2021-01-15,33,0,39001,OH
33,Adams,2021-01-16,0,1,39001,OH
34,Adams,2021-01-17,1,2,39001,OH
35,Adams,2021-01-18,11,43,39001,OH
36,Adams,2021-01-19,139,33,39001,OH
37,Adams,2021-01-20,45,9,39001,OH
38,Adams,2021-01-21,40,33,39001,OH
39,Adams,2021-01-22,157,2,39001,OH
40,Adams,2021-01-23,6,3,39001,OH
41,Adams,2021-01-24,0,0,39001,OH
42,Adams,2021-01-25,96,13,39001,OH
43,Adams,2021-01-26,43,19,39001,OH
44,Adams,2021-01-27,52,111,39001,OH
45,Adams,2021-01-28,41,5,39001,OH
46,Adams,2021-01-29,199,14,39001,OH
47,Adams,2021-01-30,2,1,39001,OH
48,Adams,2021-01-31,2,0,39001,OH
49,Adams,2021-02-01,73,8,39001,OH
50,Adams,2021-02-02,42,40,39001,OH
51,Adams,2021-02-03,24,21,39001,OH
52,Adams,2021-02-04,35,28,39001,OH
53,Adams,2021-02-05,144,18,39001,OH
54,Adams,2021-02-06,7,1,39001,OH
55,Adams,2021-02-07,1,1,39001,OH
56,Adams,2021-02-08,113,56,39001,OH
57,Adams,2021-02-09,42,21,39001,OH
58,Adams,2021-02-10,52,11,39001,OH
59,Adams,2021-02-11,41,16,39001,OH
60,Adams,2021-02-12,258,151,39001,OH
61,Adams,2021-02-13,5,4,39001,OH
62,Adams,2021-02-14,1,0,39001,OH
63,Adams,2021-02-15,24,4,39001,OH
64,Adams,2021-02-16,7,3,39001,OH
65,Adams,2021-02-17,24,52,39001,OH
66,Adams,2021-02-18,9,39,39001,OH
67,Adams,2021-02-19,9,198,39001,OH
68,Adams,2021-02-20,3,2,39001,OH
69,Adams,2021-02-21,1,2,39001,OH
70,Adams,2021-02-22,63,31,39001,OH
71,Adams,2021-02-23,114,144,39001,OH
72,Adams,2021-02-24,98,55,39001,OH
73,Adams,2021-02-25,36,28,39001,OH
74,Adams,2021-02-26,140,165,39001,OH
75,Adams,2021-02-27,4,2,39001,OH
76,Adams,2021-02-28,1,1,39001,OH
77,Adams,2021-03-01,33,77,39001,OH
78,Adams,2021-03-02,23,27,39001,OH
79,Adams,2021-03-03,30,34,39001,OH
80,Adams,2021-03-04,53,47,39001,OH
81,Adams,2021-03-05,183,39,39001,OH
82,Adams,2021-03-06,37,42,39001,OH
83,Adams,2021-03-07,7,7,39001,OH
84,Adams,2021-03-08,248,287,39001,OH
85,Adams,2021-03-09,28,37,39001,OH
86,Adams,2021-03-10,68,47,39001,OH
87,Adams,2021-03-11,40,64,39001,OH
88,Adams,2021-03-12,50,83,39001,OH
89,Adams,2021-03-13,21,10,39001,OH
90,Adams,2021-03-14,5,1,39001,OH
91,Adams,2021-03-15,48,61,39001,OH
92,Adams,2021-03-16,46,7,39001,OH
93,Adams,2021-03-17,184,169,39001,OH
94,Adams,2021-03-18,93,30,39001,OH
95,Adams,2021-03-19,56,304,39001,OH
96,Adams,2021-03-20,7,3,39001,OH
97,Adams,2021-03-21,3,0,39001,OH
98,Adams,2021-03-22,64,32,39001,OH
99,Adams,2021-03-23,82,145,39001,OH
100,Adams,2021-03-24,81,26,39001,OH
101,Adams,2021-03-25,72,37,39001,OH
102,Adams,2021-03-26,207,179,39001,OH
103,Adams,2021-03-27,4,1,39001,OH
104,Adams,2021-03-28,0,0,39001,OH
105,Adams,2021-03-29,51,69,39001,OH
106,Adams,2021-03-30,90,34,39001,OH
107,Adams,2021-03-31,93,52,39001,OH
108,Adams,2021-04-01,121,39,39001,OH
109,Adams,2021-04-02,55,58,39001,OH
110,Adams,2021-04-03,25,20,39001,OH
111,Adams,2021-04-04,6,6,39001,OH
112,Adams,2021-04-05,77,59,39001,OH
113,Adams,2021-04-06,83,52,39001,OH
114,Adams,2021-04-07,61,102,39001,OH
115,Adams,2021-04-08,140,55,39001,OH
116,Adams,2021-04-09,94,109,39001,OH
117,Adams,2021-04-10,57,60,39001,OH
118,Adams,2021-04-11,8,7,39001,OH
119,Adams,2021-04-12,46,23,39001,OH
120,Adams,2021-04-13,59,48,39001,OH
121,Adams,2021-04-14,49,76,39001,OH
122,Adams,2021-04-15,52,100,39001,OH
123,Adams,2021-04-16,56,53,39001,OH
124,Adams,2021-04-17,34,4,39001,OH
125,Adams,2021-04-18,1,2,39001,OH
126,Adams,2021-04-19,23,27,39001,OH
127,Adams,2021-04-20,64,68,39001,OH
128,Adams,2021-04-21,62,79,39001,OH
129,Adams,2021-04-22,29,71,39001,OH
130,Adams,2021-04-23,58,213,39001,OH
131,Adams,2021-04-24,21,7,39001,OH
132,Adams,2021-04-25,8,0,39001,OH
133,Adams,2021-04-26,10,54,39001,OH
134,Adams,2021-04-27,34,51,39001,OH
135,Adams,2021-04-28,46,55,39001,OH
136,Adams,2021-04-29,22,129,39001,OH
137,Adams,2021-04-30,20,34,39001,OH
138,Adams,2021-05-01,29,30,39001,OH
139,Adams,2021-05-02,5,3,39001,OH
140,Adams,2021-05-03,8,63,39001,OH
141,Adams,2021-05-04,35,98,39001,OH
142,Adams,2021-05-05,22,31,39001,OH
143,Adams,2021-05-06,30,90,39001,OH
144,Adams,2021-05-07,37,24,39001,OH
145,Adams,2021-05-08,19,14,39001,OH
146,Adams,2021-05-09,1,2,39001,OH
147,Adams,2021-05-10,9,52,39001,OH
148,Adams,2021-05-11,22,82,39001,OH
149,Adams,2021-05-12,31,19,39001,OH
150,Adams,2021-05-13,36,63,39001,OH
151,Adams,2021-05-14,52,25,39001,OH
152,Adams,2021-05-15,33,34,39001,OH
153,Adams,2021-05-16,6,0,39001,OH
154,Adams,2021-05-17,29,32,39001,OH
155,Adams,2021-05-18,53,87,39001,OH
156,Adams,2021-05-19,38,25,39001,OH
157,Adams,2021-05-20,22,48,39001,OH
158,Adams,2021-05-21,31,24,39001,OH
159,Adams,2021-05-22,9,5,39001,OH
160,Adams,2021-05-23,2,7,39001,OH
161,Adams,2021-05-24,10,15,39001,OH
162,Adams,2021-05-25,36,37,39001,OH
163,Adams,2021-05-26,48,17,39001,OH
164,Adams,2021-05-27,19,30,39001,OH
165,Adams,2021-05-28,29,11,39001,OH
166,Allen,2020-12-14,0,0,39003,OH
167,Allen,2020-12-15,3,0,39003,OH
168,Allen,2020-12-16,1,0,39003,OH
169,Allen,2020-12-17,2,0,39003,OH
170,Allen,2020-12-18,1,0,39003,OH
171,Allen,2020-12-19,2,0,39003,OH
172,Allen,2020-12-20,0,0,39003,OH
