county,date,vaccines_started,vaccines_completed
Adams,12/14/20,0,0
Adams,12/15/20,0,0
Adams,12/16/20,0,0
Adams,12/17/20,0,0
Adams,12/18/20,4,0
Adams,12/19/20,5,0
Adams,12/20/20,0,0
Adams,12/21/20,1,0
Adams,12/22/20,9,0
Adams,12/23/20,20,0
Adams,12/24/20,8,0
Adams,12/25/20,0,0
Adams,12/26/20,4,0
Adams,12/27/20,4,0
Adams,12/28/20,72,0
Adams,12/29/20,75,0
Adams,12/30/20,52,0
Adams,12/31/20,18,0
Adams,1/1/21,1,0
Adams,1/2/21,4,0
Adams,1/3/21,0,0
Adams,1/4/21,17,0
Adams,1/5/21,25,0
Adams,1/6/21,76,0
Adams,1/7/21,50,0
Adams,1/8/21,28,9
Adams,1/9/21,0,0
Adams,1/10/21,0,0
Adams,1/11/21,23,1
Adams,1/12/21,40,2
Adams,1/13/21,20,2
Adams,1/14/21,37,0
Adams,1/15/21,33,0
Adams,1/16/21,0,1
Adams,1/17/21,1,2
Adams,1/18/21,11,43
Adams,1/19/21,139,33
Adams,1/20/21,45,9
Adams,1/21/21,40,33
Adams,1/22/21,157,2
Adams,1/23/21,6,3
Adams,1/24/21,0,0
Adams,1/25/21,96,13
Adams,1/26/21,43,19
Adams,1/27/21,52,111
Adams,1/28/21,41,5
Adams,1/29/21,199,14
Adams,1/30/21,2,1
Adams,1/31/21,2,0
Adams,2/1/21,73,8
Adams,2/2/21,42,40
Adams,2/3/21,24,21
Adams,2/4/21,34,28
Adams,2/5/21,144,19
Adams,2/6/21,7,1
Adams,2/7/21,1,1
Adams,2/8/21,112,56
Adams,2/9/21,42,21
Adams,2/10/21,52,11
Adams,2/11/21,40,16
Adams,2/12/21,258,151
Adams,2/13/21,5,4
Adams,2/14/21,1,0
Adams,2/15/21,24,4
Adams,2/16/21,6,3
Adams,2/17/21,24,52
Adams,2/18/21,9,40
Adams,2/19/21,9,198
Adams,2/20/21,3,2
Adams,2/21/21,1,2
Adams,2/22/21,63,31
Adams,2/23/21,114,144
Adams,2/24/21,99,54
Adams,2/25/21,34,28
Adams,2/26/21,140,165
Adams,2/27/21,4,2
Adams,2/28/21,1,1
Adams,3/1/21,34,77
Adams,3/2/21,23,27
Adams,3/3/21,30,35
Adams,3/4/21,54,46
Adams,3/5/21,183,39
Adams,3/6/21,37,42
Adams,3/7/21,7,7
Adams,3/8/21,249,288
Adams,3/9/21,28,34
Adams,3/10/21,68,46
Adams,3/11/21,42,64
Adams,3/12/21,47,82
Adams,3/13/21,19,10
Adams,3/14/21,5,1
Adams,3/15/21,48,61
Adams,3/16/21,44,6
Adams,3/17/21,183,169
Adams,3/18/21,91,28
Adams,3/19/21,56,304
Adams,3/20/21,7,3
Adams,3/21/21,3,0
Adams,3/22/21,64,32
Adams,3/23/21,81,146
Adams,3/24/21,81,27
Adams,3/25/21,72,35
Adams,3/26/21,208,180
Adams,3/27/21,4,1
Adams,3/28/21,0,0
Adams,3/29/21,49,68
Adams,3/30/21,89,33
Adams,3/31/21,94,53
Adams,4/1/21,114,34
Adams,4/2/21,47,51
Adams,4/3/21,19,14
Adams,4/4/21,6,6
Adams,4/5/21,74,59
Adams,4/6/21,83,49
Adams,4/7/21,59,101
Adams,4/8/21,133,49
Adams,4/9/21,85,98
Adams,4/10/21,47,44
Adams,4/11/21,8,7
Adams,4/12/21,45,23
Adams,4/13/21,59,48
Adams,4/14/21,48,75
Adams,4/15/21,52,99
Adams,4/16/21,55,53
Adams,4/17/21,33,4
Adams,4/18/21,1,2
Adams,4/19/21,21,27
Adams,4/20/21,63,67
Adams,4/21/21,61,77
Adams,4/22/21,25,39
Adams,4/23/21,14,44
Adams,4/24/21,15,7
Adams,4/25/21,8,0
Allen ,12/14/20,0,0
Allen ,12/15/20,3,0
Allen ,12/16/20,0,0
Allen ,12/17/20,2,0
Allen ,12/18/20,1,0
Allen ,12/19/20,2,0
Allen ,12/20/20,0,0
Allen ,12/21/20,5,0
Allen ,12/22/20,80,0
Allen ,12/23/20,130,0
Allen ,12/24/20,73,0
Allen ,12/25/20,1,0
Allen ,12/26/20,15,0
Allen ,12/27/20,0,0
Allen ,12/28/20,331,0
Allen ,12/29/20,178,0
Allen ,12/30/20,300,0
Allen ,12/31/20,83,0
Allen ,1/1/21,7,0
Allen ,1/2/21,8,0
Allen ,1/3/21,2,0
Allen ,1/4/21,398,0
Allen ,1/5/21,219,3
Allen ,1/6/21,167,1
Allen ,1/7/21,346,2
Allen ,1/8/21,266,2
Allen ,1/9/21,229,3
Allen ,1/10/21,23,0
Allen ,1/11/21,238,6
Allen ,1/12/21,297,40
Allen ,1/13/21,112,8
Allen ,1/14/21,234,6
Allen ,1/15/21,182,3
Allen ,1/16/21,8,8
Allen ,1/17/21,6,1
Allen ,1/18/21,63,87
Allen ,1/19/21,336,75
Allen ,1/20/21,651,153
Allen ,1/21/21,364,37
Allen ,1/22/21,252,35
Allen ,1/23/21,168,3
Allen ,1/24/21,31,0
Allen ,1/25/21,167,445
Allen ,1/26/21,175,232
Allen ,1/27/21,151,217
Allen ,1/28/21,576,129
Allen ,1/29/21,257,175
Allen ,1/30/21,44,2
Allen ,1/31/21,8,25
Allen ,2/1/21,285,275
Allen ,2/2/21,494,235
Allen ,2/3/21,224,89
Allen ,2/4/21,471,278
Allen ,2/5/21,690,157
Allen ,2/6/21,134,242
Allen ,2/7/21,35,1
Allen ,2/8/21,366,134
Allen ,2/9/21,446,240
Allen ,2/10/21,228,388
Allen ,2/11/21,543,142
Allen ,2/12/21,369,181
Allen ,2/13/21,109,3
Allen ,2/14/21,4,0
Allen ,2/15/21,46,183
Allen ,2/16/21,89,110
Allen ,2/17/21,140,307
Allen ,2/18/21,73,244
Allen ,2/19/21,576,235
Allen ,2/20/21,44,167
Allen ,2/21/21,25,36
Allen ,2/22/21,184,128
Allen ,2/23/21,379,601
Allen ,2/24/21,313,199
Allen ,2/25/21,487,392
Allen ,2/26/21,654,327
Allen ,2/27/21,166,108
Allen ,2/28/21,58,93
Allen ,3/1/21,147,199
Allen ,3/2/21,496,281
Allen ,3/3/21,267,230
Allen ,3/4/21,629,497
Allen ,3/5/21,350,713
Allen ,3/6/21,219,489
Allen ,3/7/21,50,37
Allen ,3/8/21,241,355
Allen ,3/9/21,408,427
Allen ,3/10/21,617,598
Allen ,3/11/21,824,499
Allen ,3/12/21,591,813
Allen ,3/13/21,408,211
Allen ,3/14/21,65,10
Allen ,3/15/21,240,110
Allen ,3/16/21,323,160
Allen ,3/17/21,323,198
Allen ,3/18/21,593,170
Allen ,3/19/21,605,964
Allen ,3/20/21,127,120
Allen ,3/21/21,45,23
Allen ,3/22/21,140,215
Allen ,3/23/21,369,387
Allen ,3/24/21,521,289
Allen ,3/25/21,296,810
Allen ,3/26/21,228,380
Allen ,3/27/21,271,108
Allen ,3/28/21,11,43
Allen ,3/29/21,349,271
Allen ,3/30/21,358,273
Allen ,3/31/21,668,686
Allen ,4/1/21,440,1097
Allen ,4/2/21,670,742
Allen ,4/3/21,273,307
Allen ,4/4/21,21,18
Allen ,4/5/21,121,197
Allen ,4/6/21,205,292
Allen ,4/7/21,182,281
Allen ,4/8/21,694,1225
Allen ,4/9/21,263,405
Allen ,4/10/21,301,331
Allen ,4/11/21,44,57
Allen ,4/12/21,84,195
Allen ,4/13/21,169,400
Allen ,4/14/21,131,453
Allen ,4/15/21,94,258
Allen ,4/16/21,72,549
Allen ,4/17/21,44,285
Allen ,4/18/21,8,43
Allen ,4/19/21,118,218
Allen ,4/20/21,70,180
Allen ,4/21/21,58,211
Allen ,4/22/21,156,353
Allen ,4/23/21,45,203
Allen ,4/24/21,30,110
Allen ,4/25/21,44,25
Ashland,12/14/20,0,0
Ashland,12/15/20,0,0
Ashland,12/16/20,1,0
Ashland,12/17/20,2,0
Ashland,12/18/20,0,0
Ashland,12/19/20,0,0
Ashland,12/20/20,0,0
Ashland,12/21/20,6,0
Ashland,12/22/20,11,0
Ashland,12/23/20,51,0
Ashland,12/24/20,23,0
Ashland,12/25/20,0,0
Ashland,12/26/20,97,0
Ashland,12/27/20,3,0
Ashland,12/28/20,244,0
Ashland,12/29/20,68,0
Ashland,12/30/20,86,0
Ashland,12/31/20,56,0
Ashland,1/1/21,5,1
Ashland,1/2/21,7,0
Ashland,1/3/21,5,0
Ashland,1/4/21,116,0
Ashland,1/5/21,194,1
Ashland,1/6/21,130,2
Ashland,1/7/21,48,1
Ashland,1/8/21,150,3
Ashland,1/9/21,6,0
Ashland,1/10/21,2,0
Ashland,1/11/21,44,4
Ashland,1/12/21,34,9
Ashland,1/13/21,60,6
Ashland,1/14/21,122,3
Ashland,1/15/21,110,7
Ashland,1/16/21,52,83
Ashland,1/17/21,4,0
Ashland,1/18/21,98,146
Ashland,1/19/21,93,4
Ashland,1/20/21,36,55
Ashland,1/21/21,106,29
Ashland,1/22/21,390,11
Ashland,1/23/21,36,6
Ashland,1/24/21,38,1
Ashland,1/25/21,96,85
Ashland,1/26/21,67,190
Ashland,1/27/21,81,80
Ashland,1/28/21,50,59
Ashland,1/29/21,526,75
