Date Administered,* Jurisdiction,COVID-19 Doses Administered
4/25/2021,Wright,13
4/24/2021,Wright,25
4/23/2021,Wright,64
4/22/2021,Wright,46
4/21/2021,Wright,46
4/20/2021,Wright,61
4/19/2021,Wright,34
4/18/2021,Wright,1
4/17/2021,Wright,15
4/16/2021,Wright,66
4/15/2021,Wright,52
4/14/2021,Wright,107
4/13/2021,Wright,173
4/12/2021,Wright,88
4/11/2021,Wright,16
4/10/2021,Wright,62
4/9/2021,Wright,142
4/8/2021,Wright,90
4/7/2021,Wright,137
4/6/2021,Wright,84
4/5/2021,Wright,39
4/4/2021,Wright,1
4/3/2021,Wright,24
4/2/2021,Wright,41
4/1/2021,Wright,104
3/31/2021,Wright,92
3/30/2021,Wright,99
3/29/2021,Wright,29
3/28/2021,Wright,12
3/27/2021,Wright,152
3/26/2021,Wright,103
3/25/2021,Wright,109
3/24/2021,Wright,169
3/23/2021,Wright,72
3/22/2021,Wright,47
3/21/2021,Wright,5
3/20/2021,Wright,13
3/19/2021,Wright,120
3/18/2021,Wright,74
3/17/2021,Wright,94
3/16/2021,Wright,167
3/15/2021,Wright,53
3/14/2021,Wright,1
3/13/2021,Wright,103
3/12/2021,Wright,64
3/11/2021,Wright,72
3/10/2021,Wright,103
3/9/2021,Wright,137
3/8/2021,Wright,64
3/7/2021,Wright,9
3/6/2021,Wright,33
3/5/2021,Wright,71
3/4/2021,Wright,124
3/3/2021,Wright,166
3/2/2021,Wright,129
3/1/2021,Wright,32
2/28/2021,Wright,3
2/27/2021,Wright,182
2/26/2021,Wright,99
2/25/2021,Wright,50
2/24/2021,Wright,157
2/23/2021,Wright,86
2/22/2021,Wright,20
2/21/2021,Wright,5
2/20/2021,Wright,1
2/19/2021,Wright,67
2/18/2021,Wright,20
2/17/2021,Wright,5
2/16/2021,Wright,28
2/15/2021,Wright,3
2/14/2021,Wright,2
2/13/2021,Wright,107
2/12/2021,Wright,98
2/11/2021,Wright,71
2/10/2021,Wright,72
2/9/2021,Wright,110
2/8/2021,Wright,26
2/7/2021,Wright,1
2/6/2021,Wright,73
2/5/2021,Wright,105
2/4/2021,Wright,80
2/3/2021,Wright,102
2/2/2021,Wright,18
2/1/2021,Wright,16
1/30/2021,Wright,17
1/29/2021,Wright,86
1/28/2021,Wright,46
1/27/2021,Wright,105
1/26/2021,Wright,27
1/25/2021,Wright,19
1/23/2021,Wright,38
1/22/2021,Wright,30
1/21/2021,Wright,12
1/20/2021,Wright,18
1/19/2021,Wright,31
1/18/2021,Wright,10
1/17/2021,Wright,3
1/16/2021,Wright,5
1/15/2021,Wright,15
1/14/2021,Wright,7
1/13/2021,Wright,9
1/12/2021,Wright,9
1/11/2021,Wright,8
1/10/2021,Wright,1
1/9/2021,Wright,2
1/8/2021,Wright,14
1/7/2021,Wright,31
1/6/2021,Wright,21
1/5/2021,Wright,7
1/4/2021,Wright,7
1/2/2021,Wright,7
1/1/2021,Wright,1
12/31/2020,Wright,4
12/30/2020,Wright,51
12/29/2020,Wright,33
12/28/2020,Wright,5
12/27/2020,Wright,1
12/26/2020,Wright,7
12/24/2020,Wright,4
12/23/2020,Wright,20
12/22/2020,Wright,10
12/21/2020,Wright,3
12/20/2020,Wright,1
12/17/2020,Wright,1
12/16/2020,Wright,10
4/24/2021,Worth,1
4/23/2021,Worth,7
4/22/2021,Worth,16
4/21/2021,Worth,1
4/20/2021,Worth,2
4/16/2021,Worth,2
4/15/2021,Worth,8
4/14/2021,Worth,6
4/13/2021,Worth,2
4/12/2021,Worth,11
4/11/2021,Worth,1
4/10/2021,Worth,1
4/9/2021,Worth,20
4/8/2021,Worth,8
4/7/2021,Worth,4
4/6/2021,Worth,1
4/2/2021,Worth,16
4/1/2021,Worth,1
3/31/2021,Worth,8
3/30/2021,Worth,3
3/27/2021,Worth,2
3/26/2021,Worth,20
3/25/2021,Worth,4
3/24/2021,Worth,10
3/23/2021,Worth,1
3/22/2021,Worth,3
3/19/2021,Worth,8
3/18/2021,Worth,12
3/17/2021,Worth,7
3/16/2021,Worth,3
3/15/2021,Worth,19
3/13/2021,Worth,1
3/12/2021,Worth,24
3/11/2021,Worth,5
3/10/2021,Worth,18
3/8/2021,Worth,1
3/6/2021,Worth,5
3/5/2021,Worth,7
3/4/2021,Worth,88
3/3/2021,Worth,8
3/2/2021,Worth,6
3/1/2021,Worth,1
2/27/2021,Worth,20
2/26/2021,Worth,36
2/25/2021,Worth,5
2/24/2021,Worth,12
2/23/2021,Worth,5
2/22/2021,Worth,107
2/19/2021,Worth,9
2/18/2021,Worth,7
2/17/2021,Worth,5
2/15/2021,Worth,3
2/13/2021,Worth,1
2/12/2021,Worth,13
2/11/2021,Worth,105
2/10/2021,Worth,10
2/9/2021,Worth,11
2/5/2021,Worth,8
2/4/2021,Worth,22
2/3/2021,Worth,42
2/2/2021,Worth,13
2/1/2021,Worth,109
1/30/2021,Worth,2
1/29/2021,Worth,4
1/28/2021,Worth,7
1/27/2021,Worth,11
1/26/2021,Worth,2
1/25/2021,Worth,1
1/22/2021,Worth,15
1/21/2021,Worth,6
1/20/2021,Worth,15
1/15/2021,Worth,1
1/14/2021,Worth,2
1/13/2021,Worth,1
1/12/2021,Worth,15
1/11/2021,Worth,1
1/8/2021,Worth,1
1/7/2021,Worth,1
1/6/2021,Worth,1
1/5/2021,Worth,1
1/4/2021,Worth,6
1/3/2021,Worth,19
12/29/2020,Worth,1
12/28/2020,Worth,4
12/27/2020,Worth,1
12/22/2020,Worth,3
12/17/2020,Worth,1
4/25/2021,Webster,10
4/24/2021,Webster,101
4/23/2021,Webster,94
4/22/2021,Webster,136
4/21/2021,Webster,93
4/20/2021,Webster,180
4/19/2021,Webster,261
4/18/2021,Webster,21
4/17/2021,Webster,55
4/16/2021,Webster,370
4/15/2021,Webster,134
4/14/2021,Webster,169
4/13/2021,Webster,233
4/12/2021,Webster,230
4/11/2021,Webster,28
4/10/2021,Webster,153
4/9/2021,Webster,436
4/8/2021,Webster,406
4/7/2021,Webster,194
4/6/2021,Webster,340
4/5/2021,Webster,352
4/4/2021,Webster,37
4/3/2021,Webster,170
4/2/2021,Webster,367
4/1/2021,Webster,320
3/31/2021,Webster,210
3/30/2021,Webster,180
3/29/2021,Webster,187
3/28/2021,Webster,25
3/27/2021,Webster,130
3/26/2021,Webster,494
3/25/2021,Webster,168
3/24/2021,Webster,174
3/23/2021,Webster,257
3/22/2021,Webster,296
3/21/2021,Webster,37
3/20/2021,Webster,73
3/19/2021,Webster,412
3/18/2021,Webster,211
3/17/2021,Webster,156
3/16/2021,Webster,164
3/15/2021,Webster,194
3/14/2021,Webster,23
3/13/2021,Webster,71
3/12/2021,Webster,381
3/11/2021,Webster,410
3/10/2021,Webster,130
3/9/2021,Webster,283
3/8/2021,Webster,172
3/7/2021,Webster,14
3/6/2021,Webster,172
3/5/2021,Webster,391
3/4/2021,Webster,409
3/3/2021,Webster,222
3/2/2021,Webster,99
3/1/2021,Webster,225
2/28/2021,Webster,20
2/27/2021,Webster,229
2/26/2021,Webster,460
2/25/2021,Webster,138
2/24/2021,Webster,131
2/23/2021,Webster,214
2/22/2021,Webster,71
2/21/2021,Webster,2
2/20/2021,Webster,8
2/19/2021,Webster,250
2/18/2021,Webster,100
2/17/2021,Webster,67
2/16/2021,Webster,73
2/15/2021,Webster,66
2/14/2021,Webster,33
2/13/2021,Webster,69
2/12/2021,Webster,609
2/11/2021,Webster,254
2/10/2021,Webster,62
2/9/2021,Webster,96
2/8/2021,Webster,118
2/7/2021,Webster,2
2/6/2021,Webster,152
2/5/2021,Webster,376
2/4/2021,Webster,54
2/3/2021,Webster,120
2/2/2021,Webster,65
2/1/2021,Webster,123
1/31/2021,Webster,1
1/30/2021,Webster,52
1/29/2021,Webster,116
1/28/2021,Webster,163
1/27/2021,Webster,141
1/26/2021,Webster,298
1/25/2021,Webster,163
1/24/2021,Webster,12
1/23/2021,Webster,33
1/22/2021,Webster,344
