Date Administered,* Jurisdiction,COVID-19 Doses Administered
5/27/2021,Out-of-State,292
5/26/2021,Out-of-State,584
5/25/2021,Out-of-State,499
5/24/2021,Out-of-State,540
5/23/2021,Out-of-State,170
5/22/2021,Out-of-State,476
5/21/2021,Out-of-State,548
5/20/2021,Out-of-State,592
5/19/2021,Out-of-State,1181
5/18/2021,Out-of-State,825
5/17/2021,Out-of-State,781
5/16/2021,Out-of-State,277
5/15/2021,Out-of-State,1098
5/14/2021,Out-of-State,997
5/13/2021,Out-of-State,673
5/12/2021,Out-of-State,672
5/11/2021,Out-of-State,885
5/10/2021,Out-of-State,985
5/9/2021,Out-of-State,323
5/8/2021,Out-of-State,900
5/7/2021,Out-of-State,1175
5/6/2021,Out-of-State,1170
5/5/2021,Out-of-State,1084
5/4/2021,Out-of-State,1528
5/3/2021,Out-of-State,1063
5/2/2021,Out-of-State,825
5/1/2021,Out-of-State,806
4/30/2021,Out-of-State,2156
4/29/2021,Out-of-State,1841
4/28/2021,Out-of-State,2000
4/27/2021,Out-of-State,1829
4/26/2021,Out-of-State,1712
4/25/2021,Out-of-State,433
4/24/2021,Out-of-State,2531
4/23/2021,Out-of-State,2751
4/22/2021,Out-of-State,2268
4/21/2021,Out-of-State,2164
4/20/2021,Out-of-State,2651
4/19/2021,Out-of-State,2284
4/18/2021,Out-of-State,1235
4/17/2021,Out-of-State,2036
4/16/2021,Out-of-State,2729
4/15/2021,Out-of-State,2483
4/14/2021,Out-of-State,2136
4/13/2021,Out-of-State,2626
4/12/2021,Out-of-State,2020
4/11/2021,Out-of-State,1835
4/10/2021,Out-of-State,2311
4/9/2021,Out-of-State,3665
4/8/2021,Out-of-State,3019
4/7/2021,Out-of-State,3252
4/6/2021,Out-of-State,3347
4/5/2021,Out-of-State,2681
4/4/2021,Out-of-State,458
4/3/2021,Out-of-State,3082
4/2/2021,Out-of-State,3498
4/1/2021,Out-of-State,3726
3/31/2021,Out-of-State,3038
3/30/2021,Out-of-State,3229
3/29/2021,Out-of-State,2792
3/28/2021,Out-of-State,2016
3/27/2021,Out-of-State,1688
3/26/2021,Out-of-State,3200
3/25/2021,Out-of-State,2949
3/24/2021,Out-of-State,2278
3/23/2021,Out-of-State,2288
3/22/2021,Out-of-State,2115
3/21/2021,Out-of-State,1829
3/20/2021,Out-of-State,2280
3/19/2021,Out-of-State,2858
3/18/2021,Out-of-State,2348
3/17/2021,Out-of-State,2441
3/16/2021,Out-of-State,2234
3/15/2021,Out-of-State,1678
3/14/2021,Out-of-State,1616
3/13/2021,Out-of-State,2061
3/12/2021,Out-of-State,2078
3/11/2021,Out-of-State,1899
