,kernel,C,epsilon,neg_mean_squared_error,r2,neg_mean_absolute_error,model,degree
0,linear,0.5,0,-1088.561549784626,0.93693266241662,-7.355798251745121,SVR,
1,rbf,0.5,0,-15382.445077549031,0.1914141991049196,-18.290143473986745,SVR,
2,linear,0.5,5,-1116.546599815336,0.9337014712785086,-7.787794559480269,SVR,
3,rbf,0.5,5,-15342.480528983408,0.1964759361184677,-19.21013392215102,SVR,
4,linear,0.5,10,-1147.765102610409,0.9285363068814118,-8.700507598316737,SVR,
5,rbf,0.5,10,-15295.674762300398,0.1970606759774078,-21.136350167793555,SVR,
6,linear,1.0,0,-1090.4394598858844,0.9399080757120842,-7.251087644042113,SVR,
7,rbf,1.0,0,-14701.425222046835,0.2379102672918449,-16.607469235290125,SVR,
8,linear,1.0,5,-1116.1035490075362,0.9370562374567492,-7.675957815606764,SVR,
9,rbf,1.0,5,-14649.589169601591,0.2423435782787366,-17.583606864633996,SVR,
10,linear,1.0,10,-1131.9289395301428,0.9329836521772688,-8.536943874569351,SVR,
11,rbf,1.0,10,-14594.057973325873,0.2427000705457371,-19.44099181269943,SVR,
12,linear,5.0,0,-1140.2356541994016,0.9432136691658572,-7.145574448675484,SVR,
13,rbf,5.0,0,-13153.739532435598,0.3439419206224515,-13.513291804928238,SVR,
14,linear,5.0,5,-1165.2884245726257,0.9417409846733154,-7.507946972187311,SVR,
15,rbf,5.0,5,-13107.188686675492,0.3477713508925513,-14.49407310568597,SVR,
16,linear,5.0,10,-1205.0706458044897,0.9383769375368024,-8.370403150108576,SVR,
17,rbf,5.0,10,-13067.98116136036,0.3458403652417648,-16.44906196713628,SVR,
18,linear,10.0,0,-1143.5122501193268,0.9437880077420536,-7.122716339910662,SVR,
19,rbf,10.0,0,-12528.548002029218,0.3890758473089191,-12.712851307515963,SVR,
20,linear,10.0,5,-1166.8358141531671,0.9427725269000268,-7.464565977732205,SVR,
21,rbf,10.0,5,-12482.790422790264,0.3944397851968023,-13.626527507383704,SVR,
22,linear,10.0,10,-1208.4162401046406,0.9397922455385616,-8.286439087770274,SVR,
23,rbf,10.0,10,-12448.026283604937,0.3927924224162224,-15.574690075582684,SVR,
24,linear,20.0,0,-1146.1156038844006,0.9441153669338992,-7.114551688030335,SVR,
25,rbf,20.0,0,-11830.326072200358,0.4527478322172318,-12.052856914652676,SVR,
26,linear,20.0,5,-1163.5621421498745,0.9435638890413586,-7.432677399170013,SVR,
27,rbf,20.0,5,-11772.551076229132,0.4593465901355138,-12.876838494537589,SVR,
28,linear,20.0,10,-1198.1253550657425,0.9401451770663444,-8.24056248358958,SVR,
29,rbf,20.0,10,-11729.8290377782,0.4587341024451605,-14.757703817073564,SVR,
0,poly,0.5,0,-2688.843283511192,0.8425376346021031,-16.59906621074902,SVR,2.0
1,poly,0.5,5,-2653.167937082707,0.852962858668472,-16.907465977874917,SVR,2.0
2,poly,0.5,10,-2594.856275328658,0.8589442103549769,-17.928287459154475,SVR,2.0
3,poly,0.5,0,-23242.95521876185,-0.4730025941340936,-19.82686583732543,SVR,3.0
4,poly,0.5,5,-22643.01107763276,-0.4069506178948961,-20.161795575009407,SVR,3.0
5,poly,0.5,10,-21801.88428058737,-0.2808478926897705,-21.393675934477532,SVR,3.0
6,poly,1.0,0,-2689.324424951015,0.8437745123330753,-16.052438032583375,SVR,2.0
7,poly,1.0,5,-2681.567536127928,0.8551450067555744,-16.39195556369189,SVR,2.0
8,poly,1.0,10,-2626.5953911957986,0.8611601903043519,-17.445646306127625,SVR,2.0
9,poly,1.0,0,-29537.156232921192,-0.9676885255971736,-19.997689572781425,SVR,3.0
10,poly,1.0,5,-26058.13483165141,-0.66569016200906,-20.088936625458928,SVR,3.0
11,poly,1.0,10,-25391.7240916252,-0.605050589462862,-21.332133366636,SVR,3.0
12,poly,5.0,0,-3583.9915085122616,0.8264924680251334,-15.01349658306086,SVR,2.0
13,poly,5.0,5,-3473.387235721005,0.8432468941902124,-15.30564070640819,SVR,2.0
14,poly,5.0,10,-3293.711995701658,0.8507989839767004,-16.350106945420663,SVR,2.0
15,poly,5.0,0,-54508.138224597205,-2.1755093495237343,-21.192387809268386,SVR,3.0
16,poly,5.0,5,-51479.55177900606,-1.714932098475442,-21.25510362733989,SVR,3.0
17,poly,5.0,10,-48535.01377523263,-1.6654118113754008,-22.24489544958821,SVR,3.0
18,poly,10.0,0,-3833.8823834452537,0.8078055655367266,-14.496083266759264,SVR,2.0
19,poly,10.0,5,-3622.16222322308,0.8318926614140628,-14.755753321362103,SVR,2.0
20,poly,10.0,10,-3356.351844377562,0.8451136476441562,-15.757631456429626,SVR,2.0
21,poly,10.0,0,-128499.04185861452,-3.7450550101220266,-23.86522859394447,SVR,3.0
22,poly,10.0,5,-125659.89446377831,-3.6000830720883426,-23.90268514593947,SVR,3.0
23,poly,10.0,10,-104708.60179723722,-3.130367673358024,-24.40959970584529,SVR,3.0
24,poly,20.0,0,-4029.607270972852,0.792549059324307,-13.980300810465527,SVR,2.0
25,poly,20.0,5,-3799.747846328408,0.826314938169854,-14.195677953049673,SVR,2.0
26,poly,20.0,10,-3785.788124789936,0.8349961995428208,-15.308793643639907,SVR,2.0
27,poly,20.0,0,-230259.59101583803,-6.708394522293351,-26.452374427120123,SVR,3.0
28,poly,20.0,5,-223693.0705711056,-6.22748088944239,-26.45980372354391,SVR,3.0
29,poly,20.0,10,-198951.2002788844,-5.564182101296555,-27.027580969061983,SVR,3.0
0,,0.1,0,-1387.1436009165918,0.9173652172008464,-8.22718003161455,LinearSVR,
1,,0.1,5,-1430.805908208051,0.9136911756475542,-8.575115574445576,LinearSVR,
2,,0.1,10,-1459.7543984422423,0.908689739905808,-9.575595945274436,LinearSVR,
3,,0.5,0,-1079.435810616257,0.9365337648951904,-7.350581520677933,LinearSVR,
4,,0.5,5,-1106.645597146076,0.9332707802680672,-7.708888667619673,LinearSVR,
5,,0.5,10,-1126.942689497915,0.9293727736293936,-8.290404567532859,LinearSVR,
6,,1.0,0,-1078.4226818841782,0.939882059390097,-7.239326229365172,LinearSVR,
7,,1.0,5,-1099.8810543188604,0.9372574855611568,-7.611983757031374,LinearSVR,
8,,1.0,10,-1115.5704695274455,0.9334741900265304,-8.233139080027827,LinearSVR,
9,,5.0,0,-1139.0610591549255,0.9430963412314224,-7.142152983533061,LinearSVR,
10,,5.0,5,-1164.038938492822,0.9417754625706638,-7.489273784109546,LinearSVR,
11,,5.0,10,-1197.3846872465822,0.9389627662304888,-8.246656833439202,LinearSVR,
12,,10.0,0,-1146.0151458137782,0.9438261726741968,-7.120603818150005,LinearSVR,
13,,10.0,5,-1166.6688523598234,0.9427727264724336,-7.451857079639267,LinearSVR,
14,,10.0,10,-1204.766000814539,0.9400357930916626,-8.222696719603126,LinearSVR,
15,,20.0,0,-1146.295621116164,0.9440816946206032,-7.11579749779575,LinearSVR,
16,,20.0,5,-1165.0879594171497,0.9435307679747889,-7.426577988424322,LinearSVR,
17,,20.0,10,-1192.1329914676692,0.9403439824144052,-8.19055837492005,LinearSVR,
