,alpha,l1_ratio,neg_mean_squared_error,r2,neg_mean_absolute_error
0,0.1,0.0,-1201.8631359002886,0.9143818518742857,-8.908714041448016
1,0.1,0.1,-1196.9727668852,0.915116749072165,-8.861287046147826
2,0.1,0.2,-1192.7194790533156,0.9158878992166711,-8.810556089814186
3,0.1,0.3,-1189.6540171643026,0.9167330506295687,-8.758636983620397
4,0.1,0.4,-1189.1420976352813,0.917566815969441,-8.706643614006786
5,0.1,0.5,-1188.0392926396337,0.9186181053419858,-8.649833421775856
6,0.1,0.6,-1189.527118301941,0.9198617767255618,-8.581807444929225
7,0.1,0.7,-1196.2787385131771,0.9212842538676094,-8.512101566014397
8,0.1,0.8,-1216.5592894982844,0.9228760450641488,-8.44339038668324
9,0.1,0.9,-1266.7912728712706,0.9247989642997376,-8.364213021619058
10,0.1,1.0,-1447.9308306576352,0.9300935388475554,-8.24192997204303
11,0.2,0.0,-1260.9611990317421,0.9086793404136421,-9.270609129857375
12,0.2,0.1,-1250.0814389338204,0.9094871021863179,-9.209711201440108
13,0.2,0.2,-1238.7416617642828,0.9104043181208957,-9.143960414809438
14,0.2,0.3,-1227.779143317442,0.9113365686390748,-9.075606998572134
15,0.2,0.4,-1216.234124850882,0.9124873380030619,-8.995944783726188
16,0.2,0.5,-1211.186058518124,0.9135757104957282,-8.918890313876208
17,0.2,0.6,-1203.8700284200104,0.9150395449709208,-8.826195416768007
18,0.2,0.7,-1196.0412519001918,0.916783281054935,-8.721114281800972
19,0.2,0.8,-1197.807225888662,0.9188448370836602,-8.599453383376956
20,0.2,0.9,-1221.0799338375182,0.9216424444741822,-8.447014905771155
21,0.2,1.0,-1456.2802488307332,0.9273958092680987,-8.252962777049541
22,0.3,0.0,-1310.9377368650078,0.9053033282787638,-9.511654861662834
23,0.3,0.1,-1297.6449060882549,0.9060717888433356,-9.445027562790957
24,0.3,0.2,-1283.2989197853208,0.9069690371513658,-9.374224582638899
25,0.3,0.3,-1268.3061096481122,0.9079741349297938,-9.297803363246311
26,0.3,0.4,-1252.5788105308118,0.9091030181197087,-9.212551663893727
27,0.3,0.5,-1236.7508690501406,0.9103515704444802,-9.117331583227097
28,0.3,0.6,-1221.441234499149,0.911794636487264,-9.009801458248676
29,0.3,0.7,-1215.1809377679895,0.9135531457814531,-8.894732440768857
30,0.3,0.8,-1205.8593942946945,0.9158828178155554,-8.743464543659318
31,0.3,0.9,-1218.605698794841,0.9187873143298173,-8.556634968542502
32,0.3,1.0,-1453.6424342498965,0.9255146788527432,-8.26614799520084
33,0.4,0.0,-1352.1699892277738,0.9029938989282295,-9.694369310061221
34,0.4,0.1,-1337.401907924569,0.9037090641579999,-9.623157232241516
35,0.4,0.2,-1321.454009730401,0.9045638686342122,-9.547637493490093
36,0.4,0.3,-1304.14044184207,0.9055476486962407,-9.466547313411906
37,0.4,0.4,-1285.722645606685,0.9066634329520454,-9.378766846531317
38,0.4,0.5,-1266.5581594904193,0.9079195360144531,-9.278341537168817
39,0.4,0.6,-1245.154753198279,0.9094330500203276,-9.15985340742677
40,0.4,0.7,-1225.1838188609581,0.9111959748101373,-9.024778600408023
41,0.4,0.8,-1221.3417258894526,0.9134176494441288,-8.87192654858491
42,0.4,0.9,-1219.4326932096703,0.9165611270467587,-8.662424216837287
43,0.4,1.0,-1449.4993293089624,0.9234904697577363,-8.31085423674932
44,0.5,0.0,-1387.527542369841,0.9012351059166921,-9.844243388798722
45,0.5,0.1,-1371.6606141504321,0.901924441274495,-9.770644738165005
46,0.5,0.2,-1354.5030677647085,0.9027448514826293,-9.692892914675244
47,0.5,0.3,-1335.8470227933647,0.9036761738921706,-9.606664501325772
48,0.5,0.4,-1315.3829428715937,0.9047685302478504,-9.512256255835613
49,0.5,0.5,-1293.649537763246,0.9060131035073886,-9.408405249341312
50,0.5,0.6,-1268.7648774128713,0.9075145298663461,-9.288352101479093
51,0.5,0.7,-1243.2729941700034,0.9092581953924471,-9.143091629819219
52,0.5,0.8,-1228.2875219950581,0.9114433347723409,-8.976960348817698
53,0.5,0.9,-1227.8977754019484,0.9146222189197939,-8.754398186584066
54,0.5,1.0,-1442.608091075488,0.9220341042597128,-8.348793459852185
55,0.6,0.0,-1418.989778101139,0.8997734134739801,-9.971306285406476
56,0.6,0.1,-1402.0339237762491,0.9004646234545718,-9.896391094732694
57,0.6,0.2,-1383.837162099272,0.9012655507192182,-9.817390215869326
58,0.6,0.3,-1364.0293786958227,0.902171135548281,-9.729937155983686
59,0.6,0.4,-1342.3764452911043,0.9032182269895365,-9.631410036711578
60,0.6,0.5,-1317.9448020802088,0.9044710640787711,-9.518711003849306
61,0.6,0.6,-1291.869441620377,0.9059167028696172,-9.39563059488614
62,0.6,0.7,-1261.6859178581024,0.9077018420831129,-9.247497305451263
63,0.6,0.8,-1233.8063904373553,0.9098793457950825,-9.063303001478776
64,0.6,0.9,-1238.9679178537576,0.9128012620772551,-8.845856829772963
65,0.6,1.0,-1443.7563593145185,0.9196726439079348,-8.411608882772818
66,0.7,0.0,-1447.8353964499968,0.8984702712274543,-10.083561625278179
67,0.7,0.1,-1429.6469575186013,0.8991908013475278,-10.006880903437525
68,0.7,0.2,-1410.3064839168776,0.8999906115811118,-9.925944621911963
69,0.7,0.3,-1389.4458980778218,0.900879198991158,-9.837247528887477
70,0.7,0.4,-1366.7814014443659,0.9019016307175752,-9.737277470281997
71,0.7,0.5,-1341.233849166549,0.9031213692854276,-9.62044236311205
72,0.7,0.6,-1312.9518771755424,0.90455497437906,-9.489254777360864
73,0.7,0.7,-1279.7707964810015,0.9063373216314278,-9.334824834592828
74,0.7,0.8,-1244.8020544872522,0.9084705755120027,-9.147151571218094
75,0.7,0.9,-1243.16161726163,0.9113031084196379,-8.918104120510662
76,0.7,1.0,-1441.2330322748405,0.9174395989202768,-8.467968386907831
77,0.8,0.0,-1474.9051816727174,0.8972446577091856,-10.186005713861913
78,0.8,0.1,-1455.4865880577443,0.8980107210239999,-10.106252754422995
79,0.8,0.2,-1434.8142819461204,0.89884435049698,-10.022971910407177
80,0.8,0.3,-1412.7689427638113,0.8997452197195535,-9.93270168452572
81,0.8,0.4,-1389.027120020298,0.9007534215691959,-9.832228129811265
82,0.8,0.5,-1362.4269408411712,0.9019499988916573,-9.713738389758763
83,0.8,0.6,-1331.9285672164401,0.9033882038421515,-9.575182311654945
84,0.8,0.7,-1297.4953026185074,0.9051218779440291,-9.416338027251234
85,0.8,0.8,-1258.1193415048547,0.9072311382284687,-9.225210638100009
86,0.8,0.9,-1243.9202407143514,0.9100043834429635,-8.98217172836582
87,0.8,1.0,-1445.2201701416327,0.9146266575467943,-8.544096539943217
88,0.9,0.0,-1500.7673445622854,0.8960470732530527,-10.281485380730624
89,0.9,0.1,-1479.9856632581186,0.8968839312704312,-10.198553545517111
90,0.9,0.2,-1458.011255445032,0.8977704632207684,-10.112510214410602
91,0.9,0.3,-1434.6903841520577,0.8987033061096514,-10.020001053994122
92,0.9,0.4,-1409.6839316220883,0.8997174956544999,-9.918179722431196
93,0.9,0.5,-1382.1615295910829,0.9008893025287471,-9.799164850091314
94,0.9,0.6,-1350.5236108487395,0.902306244256157,-9.657336189904106
95,0.9,0.7,-1314.3199507507684,0.9040231052861134,-9.491186198207064
96,0.9,0.8,-1270.9702315608733,0.9061381351218615,-9.2943171199859
97,0.9,0.9,-1246.5665708512408,0.9087192249451147,-9.04449652984263
98,0.9,1.0,-1455.3416340557985,0.911560154399135,-8.63500602392868
99,1.0,0.0,-1525.8157214765104,0.8948464655435178,-10.373454158351677
100,1.0,0.1,-1503.5007671726744,0.8957761818629865,-10.28573863004397
101,1.0,0.2,-1480.1484311896625,0.896734458380968,-10.196338143453024
102,1.0,0.3,-1455.5285283009098,0.8977206812708676,-10.101028420297508
103,1.0,0.4,-1429.342071378775,0.8987638723392354,-9.997246042848078
104,1.0,0.5,-1400.636796868205,0.8999289179020363,-9.877438168606798
105,1.0,0.6,-1367.9662971064693,0.9013264024966077,-9.735073132070504
106,1.0,0.7,-1330.2314310268155,0.9030245468886006,-9.561820595427426
107,1.0,0.8,-1283.7381138411306,0.9051362544308102,-9.358467176170617
108,1.0,0.9,-1250.0672438892875,0.9075558379175533,-9.102790446543846
