,alpha,neg_mean_squared_error,r2,neg_mean_absolute_error
0,0.1,-1435.458768840597,0.9304049841800827,-8.21313092137019
1,0.2,-1441.6248522344847,0.9279263306845644,-8.213639617616362
2,0.3,-1443.9651284635008,0.9255805408782055,-8.244219221776808
3,0.4,-1440.9472595459956,0.9235472193376462,-8.290172869916558
4,0.5,-1434.5885315578853,0.9219739387829186,-8.33452649993839
5,0.6,-1432.7492386932242,0.9198670952277431,-8.394628146838278
6,0.7,-1431.1748542917658,0.9177116110557495,-8.455096374515508
7,0.8,-1433.5750202029135,0.9150942213782752,-8.528377212042955
8,0.9,-1437.5670258587186,0.9123084958971726,-8.603679635755043
9,1.0,-1442.3462382140503,0.9093551796935632,-8.682468292854193
