,alpha,neg_mean_squared_error,r2,neg_mean_absolute_error
0,0.1,-3456.7596557855154,0.8955134255943986,-8.040768290269918
1,0.2,-3330.0194432250805,0.8937729750935796,-8.115259286714714
2,0.3,-3045.8289480979583,0.894638274407055,-8.230035326595745
3,0.4,-2781.23401265426,0.8960749465932581,-8.341743183619581
4,0.5,-2578.6982594363235,0.8993492793505728,-8.460834538515362
5,0.6,-2502.6150782985856,0.9003953908752313,-8.595758391256103
6,0.7,-2437.998311654228,0.9004982003276254,-8.734700040008448
7,0.8,-2380.048064490978,0.8998878625829517,-8.87677136123264
8,0.9,-2285.617441125291,0.8995940064148351,-9.013736531090396
9,1.0,-2173.83829692286,0.8996870677738559,-9.14341696045391
