variable,count,mean,std,min,25%,50%,75%,max
new_cases_7avg,89993,31,125,0,2,7,21,4654
2weeksago_cases_7avg,89993,31,125,0,2,7,21,4654
new_cases,89993,31,132,0,1,6,20,6697
age_45_54,89993,13113,42957,241,1877,4177,8645,658679
white,89993,78252,202651,1982,13694,30578,60881,2946314
age_35_44,89993,12521,44667,197,1645,3699,8126,701726
cumulative_cases,89993,5935,23958,6,463,1463,3880,549205
asian,89993,3549,23439,0,44,171,576,379444
other_race,89993,3130,29161,0,28,134,629,500069
prev_day_adult_admit_7daysum,89993,16,62,0,0,3,10,1641
p_white,89993,91,8,46.5,89.6,94.3,96.5,99.3
retail_rec,89993,-3,16,-97,-11,-3,6,213
prev_day_adult_admit_80+_7daysum,89993,4,13,0,0,0,3,300
p_age_65over,89993,19,3,8.3,16.8,18.5,20.5,33.5
prev_day_adult_admit_50-59_7daysum,89993,3,11,0,0,0,3,278
