,kernel,C,epsilon,neg_mean_squared_error,r2,neg_mean_absolute_error,model,degree
0,linear,0.5,0,-4142.278106416566,0.8908224099012421,-7.929125119498786,SVR,
1,rbf,0.5,0,-16812.878683372517,0.1371666401286144,-24.635522792193967,SVR,
2,linear,0.5,5,-4119.032556811242,0.8915237118147104,-8.400990774871278,SVR,
3,rbf,0.5,5,-16784.707850462546,0.1406457139594701,-25.22165894636161,SVR,
4,linear,0.5,10,-4153.509946639717,0.8885748993415675,-9.492293549295104,SVR,
5,rbf,0.5,10,-16734.41684283109,0.1421099810044905,-26.745320840689864,SVR,
6,linear,1.0,0,-3911.249236932952,0.8904804651731786,-7.756379337279674,SVR,
7,rbf,1.0,0,-15921.075652676363,0.2171200990284323,-22.745591856489163,SVR,
8,linear,1.0,5,-3879.8043442564863,0.8933623607011336,-8.207121940563765,SVR,
9,rbf,1.0,5,-15894.81441914273,0.2188736459166616,-23.413157610153043,SVR,
10,linear,1.0,10,-3938.485699551556,0.8900089243860959,-9.2549256981854,SVR,
11,rbf,1.0,10,-15864.307329672469,0.2170025651637188,-25.061724630905783,SVR,
12,linear,5.0,0,-4078.928717518711,0.8825527974752118,-7.684356037496662,SVR,
13,rbf,5.0,0,-12605.987580723571,0.3791649028773886,-17.26057359212026,SVR,
14,linear,5.0,5,-4067.175886370642,0.881462705446558,-8.083586252995275,SVR,
15,rbf,5.0,5,-12594.855410825676,0.3805984445790126,-18.070914238953943,SVR,
16,linear,5.0,10,-4010.6035995531015,0.884509141471583,-8.93782146904574,SVR,
17,rbf,5.0,10,-12577.828614111664,0.3775206693202958,-19.877095474858145,SVR,
18,linear,10.0,0,-4056.80772428422,0.8796067930731281,-7.668122027429731,SVR,
19,rbf,10.0,0,-11105.980875683546,0.4400899142235095,-15.022698640713074,SVR,
20,linear,10.0,5,-4146.815467720242,0.8784683576864196,-8.042035775917897,SVR,
21,rbf,10.0,5,-11089.291635497008,0.4422846076501048,-15.846707298556426,SVR,
22,linear,10.0,10,-4158.195798048283,0.8762883657335584,-8.918430488881883,SVR,
23,rbf,10.0,10,-11086.013753612957,0.4390586016326641,-17.727778548376214,SVR,
24,linear,20.0,0,-4085.938539634011,0.8781312030344531,-7.687117288209717,SVR,
25,rbf,20.0,0,-10148.194693792377,0.4966729653380409,-13.58941865104449,SVR,
26,linear,20.0,5,-4202.415114525086,0.8775528875610883,-8.05079019395492,SVR,
27,rbf,20.0,5,-10119.028885798458,0.5023364004507072,-14.340885072348415,SVR,
28,linear,20.0,10,-4280.482386821973,0.8729977209090115,-8.880235699852856,SVR,
29,rbf,20.0,10,-10100.761586593384,0.5004763008821619,-16.20689481794762,SVR,
0,poly,0.5,0,-101259.0976963739,-1.203901437292522,-27.175099709800605,SVR,2.0
1,poly,0.5,5,-103844.45688794962,-1.4623096636445194,-27.673834824878096,SVR,2.0
2,poly,0.5,10,-102761.2234563475,-1.1249539419707082,-28.44178100585,SVR,2.0
