,alpha,l1_ratio,neg_mean_squared_error,r2
0,0.1,0.0,-1321.9451607843057,0.9203341844055771
1,0.1,0.1,-1310.308568386923,0.9213098215437444
2,0.1,0.2,-1279.6726032409115,0.923504399774792
3,0.1,0.3,-1267.7074550745,0.9251309402641783
4,0.1,0.4,-1279.1641148598146,0.9255683751223345
5,0.1,0.5,-1280.0094222871821,0.926270631205167
6,0.1,0.6,-1257.6261361328632,0.9281332046522924
7,0.1,0.7,-1254.3695864797226,0.9302260057963431
8,0.1,0.8,-1286.5835052217335,0.9313433894801844
9,0.1,0.9,-1315.8456091174216,0.9334323691860175
10,0.1,1.0,-1466.4002821888746,0.9378703503331451
11,0.2,0.0,-1415.6759552916246,0.9112650917127179
12,0.2,0.1,-1401.1179898427156,0.9125319774428424
13,0.2,0.2,-1377.7095969230609,0.9144227752064977
14,0.2,0.3,-1370.9144627112607,0.9155948431940297
15,0.2,0.4,-1343.0818166821932,0.9178601595119035
16,0.2,0.5,-1323.5591208122582,0.9198911230274088
17,0.2,0.6,-1314.8115876373317,0.9216635943726621
18,0.2,0.7,-1279.344789725172,0.9249163605105009
19,0.2,0.8,-1284.7523693821279,0.926751640181489
20,0.2,0.9,-1300.4508289010535,0.930153231694435
21,0.2,1.0,-1420.035681036026,0.9367462296386111
22,0.3,0.0,-1497.8807343377407,0.9045480060702864
23,0.3,0.1,-1476.9918825882396,0.9061732469148106
24,0.3,0.2,-1457.6053915725843,0.9076996236692692
25,0.3,0.3,-1432.3539587707382,0.9098038952847918
26,0.3,0.4,-1411.5194161210825,0.911574275474442
27,0.3,0.5,-1382.037959893395,0.9143296768565008
28,0.3,0.6,-1363.1160890929937,0.9165549131357053
29,0.3,0.7,-1331.673762276236,0.91988158590199
30,0.3,0.8,-1292.9787641564787,0.9236911646547189
31,0.3,0.9,-1288.1265172402423,0.9276330977987923
32,0.3,1.0,-1440.67187512279,0.9347424651843603
33,0.4,0.0,-1561.9821214218264,0.8996583996299241
34,0.4,0.1,-1541.5322741914056,0.9011205352134238
35,0.4,0.2,-1518.282268722986,0.9028305944027171
36,0.4,0.3,-1492.7257185391607,0.9047381487962707
37,0.4,0.4,-1464.5412307010502,0.9069357743424709
38,0.4,0.5,-1431.9068471195167,0.9095265715349325
39,0.4,0.6,-1400.9204418783975,0.9124662165753323
40,0.4,0.7,-1373.74031571286,0.9155139271816799
41,0.4,0.8,-1342.9515997637623,0.9195070174446964
42,0.4,0.9,-1314.4468129104425,0.9244498050226471
43,0.4,1.0,-1453.156115675516,0.9326489274068605
44,0.5,0.0,-1614.6378576123338,0.8958343313304737
45,0.5,0.1,-1594.251926140838,0.8971643309276932
46,0.5,0.2,-1570.336052487205,0.8988185044999402
47,0.5,0.3,-1543.0639951753874,0.9007387852261547
48,0.5,0.4,-1515.262281120381,0.9028081802686397
49,0.5,0.5,-1479.5848228873674,0.9054765911216511
50,0.5,0.6,-1441.3574646866805,0.908529289464912
51,0.5,0.7,-1404.279760287791,0.912096032572397
52,0.5,0.8,-1367.8387165238819,0.9167084182270966
53,0.5,0.9,-1317.8722356854414,0.9225807814046156
54,0.5,1.0,-1456.5174316913967,0.9308751287301513
55,0.6,0.0,-1659.23791980937,0.8927302389380999
56,0.6,0.1,-1639.186504308413,0.8939648551133025
57,0.6,0.2,-1615.0666778718835,0.8955121699325961
58,0.6,0.3,-1586.4894294606938,0.8974059629435334
59,0.6,0.4,-1557.50595604808,0.8994855699197339
60,0.6,0.5,-1520.5916094485262,0.9021279851914423
61,0.6,0.6,-1477.799049996815,0.9053928776032956
62,0.6,0.7,-1436.02521442661,0.908960161356379
63,0.6,0.8,-1394.0968784755414,0.9137211447055756
64,0.6,0.9,-1349.1709596519133,0.9199445761334744
65,0.6,1.0,-1458.1516602065149,0.928712565423373
66,0.7,0.0,-1697.5842950752876,0.8901665221808224
67,0.7,0.1,-1678.0952944328596,0.89126535820867
68,0.7,0.2,-1654.1761630204592,0.8927410308434176
69,0.7,0.3,-1625.785447682711,0.8945389980576897
70,0.7,0.4,-1595.1661845996462,0.896589996978004
71,0.7,0.5,-1558.7525882795062,0.899130836762256
72,0.7,0.6,-1513.4432874330791,0.9023911499031967
73,0.7,0.7,-1469.65674440477,0.9058984123519326
74,0.7,0.8,-1412.4154430904184,0.9113127162017344
75,0.7,0.9,-1375.3190220065062,0.9175275583617919
76,0.7,1.0,-1466.3336804409282,0.9264153767847363
77,0.8,0.0,-1731.1240328065137,0.8880127918918901
78,0.8,0.1,-1711.6197787173624,0.8890303724944818
79,0.8,0.2,-1688.0427552786184,0.8904096423096131
80,0.8,0.3,-1660.239433662181,0.8921483854177661
81,0.8,0.4,-1629.472486343545,0.8939960792855037
82,0.8,0.5,-1593.1127621275612,0.8965628134851598
83,0.8,0.6,-1548.0650093688346,0.8996564254611373
84,0.8,0.7,-1498.9264861154181,0.9033066219160084
85,0.8,0.8,-1431.7830362765017,0.9090424319916743
86,0.8,0.9,-1383.8186471519562,0.9156574045639417
87,0.8,1.0,-1472.5134037639646,0.9241145129471703
88,0.9,0.0,-1760.902719927383,0.8861765262414675
89,0.9,0.1,-1741.7995266716932,0.8871003694197472
