,alpha,l1_ratio,neg_mean_squared_error,r2,neg_mean_absolute_error
0,0.1,0.0,-2283.9856094289094,0.8961003603629144,-9.476451331462455
1,0.1,0.1,-2316.0572584719466,0.8966403759670226,-9.385858938422903
2,0.1,0.2,-2351.543381353268,0.8972545864364364,-9.288966296273648
3,0.1,0.3,-2390.8430220398764,0.8980724684213067,-9.183450790957973
4,0.1,0.4,-2441.1498313159486,0.8988755059828952,-9.069316511620794
5,0.1,0.5,-2490.903545663715,0.8997338719720469,-8.945225523284199
6,0.1,0.6,-2551.6703118057203,0.9005790238219328,-8.810838866037196
7,0.1,0.7,-2643.928284787024,0.9010259877999715,-8.667119584221377
8,0.1,0.8,-2796.118473934077,0.9005687989645071,-8.50973660349221
9,0.1,0.9,-3046.9576065157057,0.8986870010201699,-8.320741381169402
10,0.1,1.0,-3456.768905049374,0.8955094214508321,-8.040835356560644
11,0.2,0.0,-2088.1619805746773,0.8959664293152633,-10.22831947272855
12,0.2,0.1,-2086.519198099737,0.8976785518273581,-10.103973975541978
13,0.2,0.2,-2094.8622073167585,0.899403192749241,-9.971397262080306
14,0.2,0.3,-2112.8969646349196,0.9010005226845818,-9.827741009343946
15,0.2,0.4,-2144.6207165431797,0.9026204928838713,-9.670761782911013
16,0.2,0.5,-2196.8778550675834,0.9037832182158496,-9.500496490643503
17,0.2,0.6,-2269.49539272259,0.9043825730122007,-9.318264502433538
18,0.2,0.7,-2360.73176503213,0.904485793782286,-9.108461394155258
19,0.2,0.8,-2462.4653430951885,0.904614013322167,-8.856520885471555
20,0.2,0.9,-2593.935743344904,0.9051024225912736,-8.535594153855126
21,0.2,1.0,-3329.965009992258,0.8938070808966909,-8.114937931237773
22,0.3,0.0,-2120.4027438018984,0.8957075451748909,-10.795866026110883
23,0.3,0.1,-2091.7670183871323,0.8976479544221717,-10.65925642586264
24,0.3,0.2,-2073.7460290732356,0.8993585357658674,-10.514429201449579
25,0.3,0.3,-2061.727149940639,0.9010126771358173,-10.354313502681933
26,0.3,0.4,-2059.4404823290974,0.9026979713352267,-10.174708821613018
27,0.3,0.5,-2071.125629394324,0.9040471799083571,-9.97333472743506
28,0.3,0.6,-2113.208726971374,0.9044451503582676,-9.74725414806277
29,0.3,0.7,-2190.3019018007767,0.9037899276444363,-9.49856494614764
30,0.3,0.8,-2303.8448921232243,0.9025522647705935,-9.19590553432148
31,0.3,0.9,-2436.1790541435266,0.901061444018118,-8.823128159854779
32,0.3,1.0,-3046.2635283384952,0.894517113094361,-8.233036669906351
33,0.4,0.0,-2206.6261665999073,0.8948223953998167,-11.24952555225354
34,0.4,0.1,-2160.2541745140243,0.8966859732663954,-11.101482025311812
35,0.4,0.2,-2114.9052819181034,0.8983240372678123,-10.943542502625537
36,0.4,0.3,-2074.4995853478135,0.899834871859835,-10.770813750621006
37,0.4,0.4,-2042.1229396189387,0.9013199187865567,-10.57789276326354
38,0.4,0.5,-2021.2301409297884,0.9028561070264822,-10.362242394198038
39,0.4,0.6,-2030.0591892466607,0.9036512647543335,-10.118113189981369
40,0.4,0.7,-2081.4826690509344,0.9033449188996813,-9.836268201358552
41,0.4,0.8,-2171.574696908767,0.9018370051523329,-9.49717402597186
42,0.4,0.9,-2279.2505434710088,0.8998152283735151,-9.06322786664366
43,0.4,1.0,-2781.93418631909,0.8957892133290233,-8.345404594899279
44,0.5,0.0,-2303.022585716815,0.8923651579760897,-11.638820080394025
45,0.5,0.1,-2244.4779293871534,0.8942005089313642,-11.484479102505178
46,0.5,0.2,-2184.617115624155,0.8959267094853868,-11.317572475115576
47,0.5,0.3,-2122.4454710188616,0.8977208579931162,-11.132907845325985
48,0.5,0.4,-2067.1771679886315,0.8993356982689688,-10.929630909047802
49,0.5,0.5,-2028.3508956367186,0.900512802727693,-10.701659237573283
50,0.5,0.6,-2002.0247539236711,0.9016554994661311,-10.437216940627195
51,0.5,0.7,-2016.682417479414,0.9022265911049163,-10.130590177942155
52,0.5,0.8,-2080.4844705868395,0.902367482287303,-9.75786859274062
53,0.5,0.9,-2180.479807148918,0.9013963337644413,-9.265921402736828
54,0.5,1.0,-2579.3652481016065,0.8990778181253734,-8.465288810147054
55,0.6,0.0,-2390.8847609316963,0.8895619225489847,-11.981783998367815
56,0.6,0.1,-2329.0703132023827,0.8912462249549182,-11.824012421813348
57,0.6,0.2,-2263.9893003508328,0.8929642344145586,-11.651347490184952
58,0.6,0.3,-2192.309641822043,0.8948514615595667,-11.458004114257605
59,0.6,0.4,-2128.7400316086096,0.8965610707764853,-11.244393165691394
60,0.6,0.5,-2071.616627291582,0.897932590116787,-11.006115381289684
61,0.6,0.6,-2026.0842041023895,0.8992350492697182,-10.728198400549916
62,0.6,0.7,-2007.9353523760567,0.9003571742407238,-10.401434098843119
63,0.6,0.8,-2031.3096921310103,0.9011261241144485,-9.99772884662404
64,0.6,0.9,-2138.761916993868,0.9007433230122854,-9.480468261988017
65,0.6,1.0,-2460.536675264505,0.9008091836262887,-8.59411320513211
66,0.7,0.0,-2458.240380388204,0.8870864008079112,-12.283272130024352
67,0.7,0.1,-2400.1459718990527,0.888594503457765,-12.12556986665934
68,0.7,0.2,-2335.3804888292616,0.8901477338869654,-11.94965942257686
69,0.7,0.3,-2265.704593305531,0.8917345948272635,-11.753443458256756
70,0.7,0.4,-2195.1407178860195,0.893716851818921,-11.531863534792736
71,0.7,0.5,-2128.4080779969267,0.8955358917110464,-11.281749184160214
72,0.7,0.6,-2067.4352067706927,0.8969595936423417,-10.99162342225971
73,0.7,0.7,-2023.5146232850454,0.8983331048250653,-10.651391050305806
74,0.7,0.8,-2009.3733134997763,0.8997136434416939,-10.227188913146971
75,0.7,0.9,-2112.67769011253,0.8998603837635804,-9.683889854962127
76,0.7,1.0,-2388.4545698195616,0.9012792062296965,-8.730406784561959
77,0.8,0.0,-2503.597040895785,0.885010388005694,-12.549182338267103
78,0.8,0.1,-2453.277631057308,0.8863540692908287,-12.392334747162264
79,0.8,0.2,-2394.138079720493,0.8875771268606837,-12.217476081576626
80,0.8,0.3,-2320.7052530659525,0.8891862484064268,-12.016285859782466
81,0.8,0.4,-2250.4443369887895,0.890987363768535,-11.790512528055801
82,0.8,0.5,-2187.9953681944958,0.8927357619330641,-11.533335392631981
83,0.8,0.6,-2114.2791746135317,0.8944660786617413,-11.234979257482413
84,0.8,0.7,-2051.211865512256,0.8961438348528618,-10.885446168252043
85,0.8,0.8,-2011.4950843449433,0.898229903214937,-10.444843075078797
86,0.8,0.9,-2082.362431734941,0.8985556938930924,-9.867264530058444
87,0.8,1.0,-2330.7944311764395,0.9009161127355997,-8.867735870494982
88,0.9,0.0,-2531.22352838605,0.8832037259480342,-12.788261732313483
89,0.9,0.1,-2492.948900285887,0.8842859720903041,-12.634213416190729
90,0.9,0.2,-2440.678557619117,0.8854787160810722,-12.460117490642531
91,0.9,0.3,-2373.260847062023,0.8869067314220695,-12.25875290687771
92,0.9,0.4,-2292.8806570872634,0.8886981464729948,-12.026077140057302
93,0.9,0.5,-2214.2659658483826,0.8905927398071197,-11.759304031411034
94,0.9,0.6,-2134.7862198126354,0.8927004790169858,-11.452300741754694
95,0.9,0.7,-2071.372901524844,0.8943410036861144,-11.096067522716364
96,0.9,0.8,-2017.7510878222367,0.8966800972636363,-10.646407418036306
97,0.9,0.9,-2036.219353929066,0.898185823851992,-10.031160115984793
