,alpha,neg_mean_squared_error,r2
0,0.0,-2497.6145755168077,0.9011336678642201
1,0.1,-1853.5568016851291,0.9277855315577921
2,0.2,-1739.1687336906261,0.928506450282839
3,0.3,-1639.3534534136809,0.9283449975261769
4,0.4,-1580.112656628818,0.9280790194510167
5,0.5,-1532.3410329199464,0.927362254557009
6,0.6,-1515.710863386667,0.9263465822147003
7,0.7,-1506.8756624600219,0.9252533918207482
8,0.8,-1497.905014814459,0.9240169329695491
9,0.9,-1496.3163419309328,0.9225840680802242
10,1.0,-1502.0928981605107,0.9210181056238378
