,alpha,neg_mean_squared_error,r2,neg_mean_absolute_error
0,0.1,-48951.10944718875,-1.7980384679652797,-11.015062525652539
1,0.2,-37540.78454915219,-0.8415416878897116,-10.575966637024367
2,0.3,-24838.064059930406,0.14965303551741996,-9.974898783371238
3,0.4,-21847.801775546388,0.4864823418680503,-9.718586899006588
4,0.5,-20752.128564428247,0.615249538201821,-9.494871232637726
5,0.6,-20429.62332453498,0.6271492505031796,-9.57525341334302
6,0.7,-19693.525728696703,0.6408922971978347,-9.656653223599207
7,0.8,-18949.20210671326,0.6541641882097745,-9.760062065910406
8,0.9,-18048.221702672716,0.6681817334162266,-9.832119248939499
9,1.0,-17619.71897744897,0.6757372647595576,-9.902643495352324
