rf__criterion,rf__max_features,rf__max_depth,rf__min_samples_split,neg_mean_squared_error,r2,neg_mean_absolute_error
mse,auto,,2,-935.1097986549106,0.9475221405722095,-7.648929299735631
mse,auto,,5,-1042.1946699971143,0.9425445360938123,-7.77957981426145
mse,auto,,10,-1261.1936401254306,0.9308575111805243,-7.986480032065545
mse,sqrt,,2,-974.9209922798725,0.9446969435221113,-7.521976023766316
mse,sqrt,,5,-1106.4835100720136,0.9375095739551245,-7.736979932618648
mse,sqrt,,10,-1351.955346234637,0.9240916976744877,-8.005950138649585
mse,log2,,2,-974.9209922798725,0.9446969435221113,-7.521976023766316
mse,log2,,5,-1106.4835100720136,0.9375095739551245,-7.736979932618648
mse,log2,,10,-1351.955346234637,0.9240916976744877,-8.005950138649585
mse,auto,1.0,2,-6630.109157722694,0.6530197076026476,-33.58830544147444
mse,auto,1.0,5,-6630.109157722694,0.6530197076026476,-33.58830544147444
mse,auto,1.0,10,-6630.109157722694,0.6530197076026476,-33.58830544147444
mse,sqrt,1.0,2,-6619.125779938216,0.6576728856496076,-33.52055240337617
mse,sqrt,1.0,5,-6619.125779938216,0.6576728856496076,-33.52055240337617
mse,sqrt,1.0,10,-6619.125779938216,0.6576728856496076,-33.52055240337617
mse,log2,1.0,2,-6619.125779938216,0.6576728856496076,-33.52055240337617
mse,log2,1.0,5,-6619.125779938216,0.6576728856496076,-33.52055240337617
mse,log2,1.0,10,-6619.125779938216,0.6576728856496076,-33.52055240337617
mse,auto,5.0,2,-974.6691036789312,0.9453030075909867,-8.415546883826334
mse,auto,5.0,5,-1092.0001032154798,0.9400315606532941,-8.521771761087788
mse,auto,5.0,10,-1300.692760958891,0.9283245215990863,-8.695025375235808
mse,sqrt,5.0,2,-1035.8377326281923,0.9398648093039579,-8.840242609857931
mse,sqrt,5.0,5,-1171.6136559830736,0.9342633525352229,-8.95535811650416
mse,sqrt,5.0,10,-1401.4242197837116,0.9201889633242201,-9.121588560474176
mse,log2,5.0,2,-1035.8377326281923,0.9398648093039579,-8.840242609857931
mse,log2,5.0,5,-1171.6136559830736,0.9342633525352229,-8.95535811650416
mse,log2,5.0,10,-1401.4242197837116,0.9201889633242201,-9.121588560474176
mse,auto,10.0,2,-921.9870648042712,0.9481292168401727,-7.699736749086679
mse,auto,10.0,5,-1041.981610357163,0.9427456347113982,-7.823456972490418
mse,auto,10.0,10,-1271.3977082392637,0.9303087352628153,-8.052046938223272
mse,sqrt,10.0,2,-969.662909108301,0.94499738415292,-7.7245446459537055
mse,sqrt,10.0,5,-1098.5443772151343,0.9394664944305886,-7.896820479367599
mse,sqrt,10.0,10,-1349.0119420170447,0.9247125506230736,-8.119652924302208
mse,log2,10.0,2,-969.662909108301,0.94499738415292,-7.7245446459537055
mse,log2,10.0,5,-1098.5443772151343,0.9394664944305886,-7.896820479367599
mse,log2,10.0,10,-1349.0119420170447,0.9247125506230736,-8.119652924302208
mae,auto,,2,-902.1995299405148,0.949378577271548,-7.5827596100541745
mae,auto,,5,-1004.2281837155334,0.9443588441035216,-7.70645021756852
mae,auto,,10,-1288.0014744410782,0.9312448418556063,-7.999576937389172
mae,sqrt,,2,-959.7163083239747,0.9459191146941179,-7.530359460085395
mae,sqrt,,5,-1116.7524184351478,0.9387704604092626,-7.7449980645309235
mae,sqrt,,10,-1407.625576399178,0.9242565345343372,-8.074141745056295
mae,log2,,2,-959.7163083239747,0.9459191146941179,-7.530359460085395
mae,log2,,5,-1116.7524184351478,0.9387704604092626,-7.7449980645309235
mae,log2,,10,-1407.625576399178,0.9242565345343372,-8.074141745056295
mae,auto,1.0,2,-12812.320589157902,0.35300792873986664,-21.37779235457431
mae,auto,1.0,5,-12812.320589157902,0.35300792873986664,-21.37779235457431
mae,auto,1.0,10,-12812.320589157902,0.35300792873986664,-21.37779235457431
mae,sqrt,1.0,2,-11823.616622701484,0.3783554296218447,-20.859522532578374
mae,sqrt,1.0,5,-11823.616622701484,0.3783554296218447,-20.859522532578374
mae,sqrt,1.0,10,-11823.616622701484,0.3783554296218447,-20.859522532578374
mae,log2,1.0,2,-11823.616622701484,0.3783554296218447,-20.859522532578374
mae,log2,1.0,5,-11823.616622701484,0.3783554296218447,-20.859522532578374
mae,log2,1.0,10,-11823.616622701484,0.3783554296218447,-20.859522532578374
mae,auto,5.0,2,-962.4927593976088,0.9460947311398329,-7.979443456768369
mae,auto,5.0,5,-1053.1121461264984,0.94254037943895,-8.056360426209206
mae,auto,5.0,10,-1318.690288891868,0.9302108652109774,-8.267252328154258
mae,sqrt,5.0,2,-1092.6818847115014,0.9377380012670873,-8.510729374921375
mae,sqrt,5.0,5,-1188.5139462922593,0.9336352224917885,-8.595191084018454
mae,sqrt,5.0,10,-1481.00020575902,0.9196215846678504,-8.803458242559525
mae,log2,5.0,2,-1092.6818847115014,0.9377380012670873,-8.510729374921375
mae,log2,5.0,5,-1188.5139462922593,0.9336352224917885,-8.595191084018454
mae,log2,5.0,10,-1481.00020575902,0.9196215846678504,-8.803458242559525
mae,auto,10.0,2,-908.6248817408417,0.9486063123466457,-7.632855922044826
mae,auto,10.0,5,-1012.6763189846581,0.9442343607687668,-7.7476733712041925
mae,auto,10.0,10,-1287.1519377585455,0.9312537262022897,-8.001186133263346
mae,sqrt,10.0,2,-974.2609814743543,0.9458975293351368,-7.6319682369426625
mae,sqrt,10.0,5,-1110.5084085104652,0.9386520036013526,-7.837547704440125
mae,sqrt,10.0,10,-1412.4075279565368,0.9234203136545142,-8.130596298108074
mae,log2,10.0,2,-974.2609814743543,0.9458975293351368,-7.6319682369426625
mae,log2,10.0,5,-1110.5084085104652,0.9386520036013526,-7.837547704440125
mae,log2,10.0,10,-1412.4075279565368,0.9234203136545142,-8.130596298108074
