,alpha,neg_mean_squared_error,r2,neg_mean_absolute_error
0,0.0,-1449.5672091911822,0.9305216126882752,-8.384891116715009
1,0.1,-1448.2265325860224,0.9305767355037994,-8.377314708496483
2,0.2,-1446.9421072578873,0.9306229431129421,-8.370641931627794
3,0.3,-1445.7070533068504,0.9306615862332955,-8.36461181259682
4,0.4,-1444.5156759032955,0.9306937549960739,-8.359215095989798
5,0.5,-1443.3632130119336,0.9307203397822374,-8.354458577262381
6,0.6,-1442.2456461076163,0.9307420756484911,-8.35006111622709
7,0.7,-1441.1595560176831,0.9307595753058087,-8.345974514442215
8,0.8,-1440.1020116536956,0.9307733539642925,-8.342279982154361
9,0.9,-1439.0704830851503,0.9307838483026334,-8.33897523682546
10,1.0,-1438.062772882259,0.9307914311293055,-8.335918329529688
