,alpha,neg_mean_squared_error,r2
0,0.0,-4.4767950847660334e+27,-7.732014080302333e+23
1,0.1,-2157.387494092759,0.9287934677820544
2,0.2,-2107.1998353661124,0.9284647303192362
3,0.3,-2069.769851072793,0.9282552023789936
4,0.4,-2039.5006353096817,0.928142155258904
5,0.5,-2013.754754479479,0.9280939985858876
6,0.6,-1991.1465547671162,0.9280888580283642
7,0.7,-1970.8712581714801,0.9281121677150966
8,0.8,-1952.4218306139026,0.9281541460932343
9,0.9,-1935.4570711728286,0.9282081322594226
10,1.0,-1919.7347131810448,0.9282695340669872
